,hadron,1D_dependence,y,z,QQ,sbar,ubar,dbar,d,u,s
18,pi-,x,0.67764706,0.343478261,1.122807018,0.22101241203294134,0.36167980851082987,0.18242072224692082,0.3634163666029517,0.1824225055077172,0.22101241203294134
19,pi-,x,0.50352941,0.360869565,1.473684211,0.20086193806461858,0.34255027798971327,0.16996014951934602,0.34407310482218,0.16996496373703954,0.20086193806461858
20,pi-,x,0.47058824,0.365217391,2.526315789,0.1893204115213378,0.3245213900261257,0.16337646404684544,0.32595563057575455,0.16337773528934982,0.1893204115213378
21,pi-,x,0.45647059,0.356521739,4.596491228,0.18869593986691363,0.3172413111605744,0.16425236010447292,0.31857350131079826,0.16424247689965213,0.18869593986691363
22,pi-,y,0.372972973,0.369565217,2.0,0.18796666803342948,0.3263495774420562,0.1613122570078076,0.3277742657969266,0.16131423698051559,0.18796666803342948
23,pi-,y,0.521621622,0.365217391,2.315789474,0.19056464868453435,0.32685651408147376,0.16404041111144302,0.3283034020642855,0.1640416359027534,0.19056464868453435
24,pi-,y,0.648648649,0.356521739,2.526315789,0.19891766669084443,0.3337108640393076,0.17109787427198123,0.3351805853922938,0.17109799187415997,0.19891766669084443
25,pi-,y,0.772972973,0.339130435,2.666666667,0.219431224260101,0.35165535601713827,0.18776439067115538,0.3531863770367054,0.1877647353915916,0.219431224260101
26,pi-,z,0.128571429,0.265,2.310344828,0.3357256074307124,0.4397609961110316,0.27608920683480775,0.4417513947645791,0.2760866154854868,0.3357256074307124
27,pi-,z,0.126190476,0.345,2.344827586,0.21366986598115675,0.3479302997097648,0.1825521823805855,0.34946423109784797,0.18255308010952376,0.21366986598115675
28,pi-,z,0.123809524,0.445,2.275862069,0.124466381585212,0.2480712428543713,0.10992588590449998,0.24915872119072688,0.10994799053877866,0.124466381585212
29,pi-,z,0.122619048,0.5475,2.206896552,0.07729506745236739,0.17506484670972008,0.07021908133686082,0.17580643725061315,0.0702071648276005,0.07729506745236739
30,pi-,z,0.119047619,0.6675,2.206896552,0.03850042014909389,0.12832895174885883,0.036174449342691754,0.12887480721750022,0.036165085804069644,0.03850042014909389
31,pi-,phT,0.117857143,0.317391304,2.310344828,0.25106044927516935,0.3784745492866575,0.2119216491094489,0.3801370600116933,0.2119216424544794,0.25106044927516935
32,pi-,phT,0.122619048,0.334782609,2.310344828,0.22724924464604782,0.35980625937619237,0.19325157414076852,0.3613836455733228,0.19325142245715082,0.22724924464604782
33,pi-,phT,0.125,0.360869565,2.310344828,0.19529932409306444,0.3314172254552399,0.1678204889215657,0.3328837469359327,0.16782059165795443,0.19529932409306444
34,pi-,phT,0.132142857,0.395652174,2.275862069,0.16081964769229823,0.29551650110899486,0.13988181413763076,0.29681830974797485,0.13985247657527017,0.16081964769229823
35,pi-,phT,0.142857143,0.452173913,2.172413793,0.12091798557982894,0.24336301120004572,0.10690565720327952,0.2444322597821719,0.10693260634212463,0.12091798557982894
