,Hadron,Dependence,QQ,x,z,phT,A_SIDIS
0,pi+,x,1.24,0.0065,0.285,0.54,0.0074
1,pi+,x,1.47,0.0106,0.321,0.52,0.0095
2,pi+,x,1.72,0.0164,0.347,0.51,0.0119
3,pi+,x,2.05,0.0257,0.363,0.49,0.0171
4,pi+,x,2.71,0.0399,0.37,0.48,0.0262
5,pi+,x,4.22,0.0628,0.367,0.48,0.0332
6,pi+,x,6.68,0.1009,0.365,0.48,0.0246
7,pi+,x,10.54,0.1621,0.362,0.48,0.0363
8,pi+,x,21.02,0.2881,0.361,0.52,0.0308
9,pi+,z,3.75,0.0467,0.223,0.45,0.0213
10,pi+,z,3.75,0.0483,0.274,0.47,0.0172
11,pi+,z,3.72,0.0498,0.324,0.5,0.0149
12,pi+,z,3.68,0.0511,0.374,0.52,0.0123
13,pi+,z,3.58,0.0527,0.445,0.54,0.0261
14,pi+,z,3.4,0.0545,0.565,0.57,0.0289
15,pi+,z,3.1,0.0548,0.716,0.56,0.0444
16,pi+,z,2.71,0.0527,0.878,0.47,0.02
17,pi+,phT,3.57,0.052,0.346,0.15,0.0079
18,pi+,phT,3.52,0.051,0.344,0.25,0.02
19,pi+,phT,3.48,0.0497,0.344,0.35,0.0074
20,pi+,phT,3.55,0.0495,0.344,0.45,0.0269
21,pi+,phT,3.62,0.0493,0.35,0.55,0.0301
22,pi+,phT,3.71,0.0489,0.363,0.67,0.0269
23,pi+,phT,3.84,0.0487,0.382,0.82,0.0266
24,pi+,phT,4.06,0.0486,0.404,1.04,0.0301
25,pi+,phT,4.77,0.0492,0.415,1.56,0.0182
0,pi-,x,1.24,0.0064,0.285,0.54,0.0032
1,pi-,x,1.48,0.0106,0.32,0.52,-0.0041
2,pi-,x,1.73,0.0164,0.344,0.5,-0.0118
3,pi-,x,2.05,0.0257,0.358,0.49,-0.0072
4,pi-,x,2.72,0.0398,0.365,0.48,-0.0031
5,pi-,x,4.22,0.0627,0.359,0.48,-0.0052
6,pi-,x,6.66,0.1007,0.353,0.48,-0.0043
7,pi-,x,10.54,0.1619,0.349,0.48,-0.0025
8,pi-,x,20.85,0.2873,0.345,0.51,0.0453
9,pi-,z,3.61,0.0447,0.223,0.45,0.0018
10,pi-,z,3.58,0.0458,0.273,0.48,0.0012
11,pi-,z,3.52,0.0468,0.323,0.5,-0.019
12,pi-,z,3.45,0.0475,0.373,0.52,0.0042
13,pi-,z,3.34,0.0488,0.444,0.54,-0.0068
14,pi-,z,3.11,0.0499,0.564,0.55,-0.0198
15,pi-,z,2.77,0.0491,0.716,0.53,0.0108
16,pi-,z,2.43,0.0473,0.879,0.43,-0.0142
17,pi-,phT,3.38,0.0487,0.346,0.15,-0.0077
18,pi-,phT,3.32,0.0477,0.344,0.25,0.0013
19,pi-,phT,3.29,0.0464,0.342,0.35,-0.0129
20,pi-,phT,3.36,0.0464,0.34,0.45,0.0014
21,pi-,phT,3.46,0.0464,0.342,0.55,-0.0034
22,pi-,phT,3.53,0.0461,0.351,0.67,0.0056
23,pi-,phT,3.65,0.0458,0.366,0.82,-0.0138
24,pi-,phT,3.83,0.0452,0.386,1.04,-0.006
25,pi-,phT,4.34,0.0442,0.4,1.56,-0.0061
0,k-,x,1.24,0.0065,0.296,0.64,-0.0415
1,k-,x,1.49,0.0105,0.341,0.59,0.0353
2,k-,x,1.88,0.0163,0.375,0.57,-0.0029
3,k-,x,2.57,0.0253,0.405,0.56,-0.0074
4,k-,x,3.83,0.0398,0.42,0.56,0.0152
5,k-,x,5.91,0.0626,0.418,0.56,0.0227
6,k-,x,9.32,0.1002,0.418,0.56,0.0069
7,k-,x,15.09,0.1613,0.411,0.56,-0.0081
8,k-,x,29.47,0.2984,0.4,0.61,0.0325
9,k-,z,4.12,0.0292,0.225,0.55,0.0171
10,k-,z,3.97,0.0323,0.274,0.56,-0.0009
11,k-,z,3.85,0.035,0.324,0.57,0.0166
12,k-,z,3.69,0.0372,0.374,0.58,0.0303
13,k-,z,3.45,0.0397,0.446,0.58,-0.0149
14,k-,z,3.14,0.0428,0.564,0.58,-0.0148
15,k-,z,3.04,0.0462,0.712,0.62,0.0159
16,k-,z,2.92,0.0459,0.869,0.56,0.0554
17,k-,phT,3.55,0.0364,0.394,0.15,0.03
18,k-,phT,3.68,0.0371,0.381,0.25,-0.0175
19,k-,phT,3.67,0.0367,0.376,0.35,-0.0297
20,k-,phT,3.66,0.0364,0.375,0.45,0.0322
21,k-,phT,3.68,0.0363,0.376,0.55,0.0024
22,k-,phT,3.67,0.0361,0.382,0.67,0.0015
23,k-,phT,3.69,0.0359,0.39,0.82,0.0291
24,k-,phT,3.75,0.0356,0.398,1.06,-0.0051
25,k-,phT,4.03,0.0349,0.402,1.59,0.0619
0,k+,x,1.23,0.0065,0.299,0.64,-0.0383
1,k+,x,1.47,0.0106,0.35,0.6,0.0132
2,k+,x,1.83,0.0163,0.391,0.58,0.0281
3,k+,x,2.45,0.0255,0.433,0.57,0.0147
4,k+,x,3.56,0.0399,0.458,0.57,0.0407
5,k+,x,5.48,0.0629,0.463,0.57,0.0474
6,k+,x,8.54,0.1009,0.468,0.57,0.0724
7,k+,x,13.6,0.1623,0.473,0.57,0.0751
8,k+,x,26.24,0.2959,0.468,0.61,0.0521
9,k+,z,4.51,0.0324,0.225,0.55,-0.0029
10,k+,z,4.49,0.0372,0.275,0.56,-0.0001
11,k+,z,4.46,0.0417,0.324,0.57,0.0428
12,k+,z,4.36,0.0454,0.374,0.57,0.0056
13,k+,z,4.18,0.0499,0.447,0.58,0.0403
14,k+,z,3.89,0.0558,0.567,0.6,0.043
15,k+,z,3.77,0.0616,0.715,0.64,0.0794
16,k+,z,3.55,0.063,0.874,0.63,0.0905
17,k+,phT,4.15,0.0455,0.41,0.15,0.027
18,k+,phT,4.26,0.0467,0.405,0.25,0.0223
19,k+,phT,4.24,0.0465,0.404,0.35,0.038
20,k+,phT,4.21,0.0463,0.408,0.45,0.0266
21,k+,phT,4.19,0.046,0.415,0.55,0.0392
22,k+,phT,4.16,0.0459,0.425,0.67,0.026
23,k+,phT,4.18,0.046,0.437,0.82,0.0401
24,k+,phT,4.3,0.046,0.448,1.06,0.0266
25,k+,phT,4.81,0.0459,0.438,1.59,0.0311
