,Hadron,Dependence,QQ,x,z,phT
0,pi+,x,1.24,0.0065,0.285,0.54
1,pi+,x,1.47,0.0106,0.321,0.52
2,pi+,x,1.72,0.0164,0.347,0.51
3,pi+,x,2.05,0.0257,0.363,0.49
4,pi+,x,2.71,0.0399,0.37,0.48
5,pi+,x,4.22,0.0628,0.367,0.48
6,pi+,x,6.68,0.1009,0.365,0.48
7,pi+,x,10.54,0.1621,0.362,0.48
8,pi+,x,21.02,0.2881,0.361,0.52
9,pi+,z,3.75,0.0467,0.223,0.45
10,pi+,z,3.75,0.0483,0.274,0.47
11,pi+,z,3.72,0.0498,0.324,0.5
12,pi+,z,3.68,0.0511,0.374,0.52
13,pi+,z,3.58,0.0527,0.445,0.54
14,pi+,z,3.4,0.0545,0.565,0.57
15,pi+,z,3.1,0.0548,0.716,0.56
16,pi+,z,2.71,0.0527,0.878,0.47
17,pi+,phT,3.57,0.052,0.346,0.15
18,pi+,phT,3.52,0.051,0.344,0.25
19,pi+,phT,3.48,0.0497,0.344,0.35
20,pi+,phT,3.55,0.0495,0.344,0.45
21,pi+,phT,3.62,0.0493,0.35,0.55
22,pi+,phT,3.71,0.0489,0.363,0.67
23,pi+,phT,3.84,0.0487,0.382,0.82
24,pi+,phT,4.06,0.0486,0.404,1.04
25,pi+,phT,4.77,0.0492,0.415,1.56
26,pi-,x,1.24,0.0064,0.285,0.54
27,pi-,x,1.48,0.0106,0.32,0.52
28,pi-,x,1.73,0.0164,0.344,0.5
29,pi-,x,2.05,0.0257,0.358,0.49
30,pi-,x,2.72,0.0398,0.365,0.48
31,pi-,x,4.22,0.0627,0.359,0.48
32,pi-,x,6.66,0.1007,0.353,0.48
33,pi-,x,10.54,0.1619,0.349,0.48
34,pi-,x,20.85,0.2873,0.345,0.51
35,pi-,z,3.61,0.0447,0.223,0.45
36,pi-,z,3.58,0.0458,0.273,0.48
37,pi-,z,3.52,0.0468,0.323,0.5
38,pi-,z,3.45,0.0475,0.373,0.52
39,pi-,z,3.34,0.0488,0.444,0.54
40,pi-,z,3.11,0.0499,0.564,0.55
41,pi-,z,2.77,0.0491,0.716,0.53
42,pi-,z,2.43,0.0473,0.879,0.43
43,pi-,phT,3.38,0.0487,0.346,0.15
44,pi-,phT,3.32,0.0477,0.344,0.25
45,pi-,phT,3.29,0.0464,0.342,0.35
46,pi-,phT,3.36,0.0464,0.34,0.45
47,pi-,phT,3.46,0.0464,0.342,0.55
48,pi-,phT,3.53,0.0461,0.351,0.67
49,pi-,phT,3.65,0.0458,0.366,0.82
50,pi-,phT,3.83,0.0452,0.386,1.04
51,pi-,phT,4.34,0.0442,0.4,1.56
52,k-,x,1.24,0.0065,0.296,0.64
53,k-,x,1.49,0.0105,0.341,0.59
54,k-,x,1.88,0.0163,0.375,0.57
55,k-,x,2.57,0.0253,0.405,0.56
56,k-,x,3.83,0.0398,0.42,0.56
57,k-,x,5.91,0.0626,0.418,0.56
58,k-,x,9.32,0.1002,0.418,0.56
59,k-,x,15.09,0.1613,0.411,0.56
60,k-,x,29.47,0.2984,0.4,0.61
61,k-,z,4.12,0.0292,0.225,0.55
62,k-,z,3.97,0.0323,0.274,0.56
63,k-,z,3.85,0.035,0.324,0.57
64,k-,z,3.69,0.0372,0.374,0.58
65,k-,z,3.45,0.0397,0.446,0.58
66,k-,z,3.14,0.0428,0.564,0.58
67,k-,z,3.04,0.0462,0.712,0.62
68,k-,z,2.92,0.0459,0.869,0.56
69,k-,phT,3.55,0.0364,0.394,0.15
70,k-,phT,3.68,0.0371,0.381,0.25
71,k-,phT,3.67,0.0367,0.376,0.35
72,k-,phT,3.66,0.0364,0.375,0.45
73,k-,phT,3.68,0.0363,0.376,0.55
74,k-,phT,3.67,0.0361,0.382,0.67
75,k-,phT,3.69,0.0359,0.39,0.82
76,k-,phT,3.75,0.0356,0.398,1.06
77,k-,phT,4.03,0.0349,0.402,1.59
86,k+,x,1.23,0.0065,0.299,0.64
87,k+,x,1.47,0.0106,0.35,0.6
88,k+,x,1.83,0.0163,0.391,0.58
89,k+,x,2.45,0.0255,0.433,0.57
90,k+,x,3.56,0.0399,0.458,0.57
91,k+,x,5.48,0.0629,0.463,0.57
92,k+,x,8.54,0.1009,0.468,0.57
93,k+,x,13.6,0.1623,0.473,0.57
94,k+,x,26.24,0.2959,0.468,0.61
78,k+,z,4.51,0.0324,0.225,0.55
79,k+,z,4.49,0.0372,0.275,0.56
80,k+,z,4.46,0.0417,0.324,0.57
81,k+,z,4.36,0.0454,0.374,0.57
82,k+,z,4.18,0.0499,0.447,0.58
83,k+,z,3.89,0.0558,0.567,0.6
84,k+,z,3.77,0.0616,0.715,0.64
85,k+,z,3.55,0.063,0.874,0.63
95,k+,phT,4.15,0.0455,0.41,0.15
96,k+,phT,4.26,0.0467,0.405,0.25
97,k+,phT,4.24,0.0465,0.404,0.35
98,k+,phT,4.21,0.0463,0.408,0.45
99,k+,phT,4.19,0.046,0.415,0.55
100,k+,phT,4.16,0.0459,0.425,0.67
101,k+,phT,4.18,0.046,0.437,0.82
102,k+,phT,4.3,0.046,0.448,1.06
103,k+,phT,4.81,0.0459,0.438,1.59
