,parameter,value,error,chi2,N_data
0,m1,6.999999690178788,0.004956973275705323,53.23410931600635,1300
1,Nu,0.7734916624462262,0.0057232596388632475,53.23410931600635,1300
2,alphau,1.769616125284733,0.03627997680216821,53.23410931600635,1300
3,betau,12.713934466453873,0.29114551771358244,53.23410931600635,1300
4,Nubar,-0.6353370783952117,0.02289518201068525,53.23410931600635,1300
5,alphaub,1.2248720810172509,0.1309428493303233,53.23410931600635,1300
6,betaub,1.0736557187231988,0.4103143875128601,53.23410931600635,1300
7,Nd,-1.543087869057012,0.10721357945755258,53.23410931600635,1300
8,alphad,0.24053587747506988,0.03941098994316605,53.23410931600635,1300
9,betad,0.19058634661322515,0.1488393223357115,53.23410931600635,1300
10,Ndbar,-0.18636721461898417,0.10657733430253644,53.23410931600635,1300
11,alphadb,1.9282614849431379,0.6238621298407087,53.23410931600635,1300
12,betadb,19.181179954471993,2.6125415333023367,53.23410931600635,1300
13,Ns,-0.6009083235534831,0.37191030153689475,53.23410931600635,1300
14,alphas,2.282745396132092,0.30354150340644914,53.23410931600635,1300
15,betas,2.3935044929365756,0.30602823985009797,53.23410931600635,1300
16,Nsbar,14.30910644279706,6.023560258698394,53.23410931600635,1300
17,alphasb,9.670498496616464,1.9456176107183496,53.23410931600635,1300
18,betasb,11.667770813824879,4.748273740280533,53.23410931600635,1300
